App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Might & Magic: Elemental Guardians,GAME,4.3,32551,35,"500,000",Free,0,Mature 17+,Role Playing,12-Jul-18,1.93,4.4 and up
Game of Thrones: Conquest™,GAME,4,90218,97,"1,000,000",Free,0,Teen,Strategy,3-Aug-18,1.8.225278,6.0 and up
Love Nikki-Dress UP Queen,GAME,4.4,212524,93,"5,000,000",Free,0,Everyone,Role Playing,24-Jul-18,3.0.0,4.0.3 and up
Summoners War,GAME,4.3,2045554,28,"50,000,000",Free,0,Teen,Role Playing,30-Jul-18,4.0.1,4.0.3 and up
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83,"5,000,000",Free,0,Teen,Role Playing,17-Jul-18,3.0.2,4.0.3 and up
Idle Heroes,GAME,4.7,416540,99,"10,000,000",Free,0,Everyone 10+,Role Playing,30-May-18,1.14.0,2.3 and up
Fate/Grand Order (English),GAME,4.4,16601,55,"500,000",Free,0,Teen,Role Playing,26-Jul-18,1.18.0,4.0 and up
Honkai Impact 3rd,GAME,4.7,59017,82,"1,000,000",Free,0,Teen,Action,3-Jul-18,2.2.1,4.3 and up
Lords Mobile: Battle of the Empires - Strategy RPG,GAME,4.4,3057481,14,"50,000,000",Free,0,Teen,Strategy,26-Jul-18,1.76,2.3 and up
War and Order,GAME,4.3,224514,81,"5,000,000",Free,0,Teen,Strategy,18-Jul-18,1.1.8,4.0.3 and up
Dungeon Hunter Champions: Epic Online Action RPG,GAME,4.2,26247,,"1,000,000",Free,0,Teen,Role Playing,26-Jul-18,1.1.40,4.0.3 and up
Candy Crush Saga,GAME,4.4,22430188,74,"500,000,000",Free,0,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
ROBLOX,GAME,4.5,4449910,67,"100,000,000",Free,0,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
8 Ball Pool,GAME,4.5,14201891,52,"100,000,000",Free,0,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Subway Surfers,GAME,4.5,27725352,76,"1,000,000,000",Free,0,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Candy Crush Soda Saga,GAME,4.4,6199095,67,"100,000,000",Free,0,Everyone,Casual,10-Jul-18,1.118.4,4.1 and up
Zombie Hunter King,GAME,4.3,10493,50,"1,000,000",Free,0,Mature 17+,Action,1-Aug-18,1.0.8,2.3 and up
Bubble Shooter,GAME,4.5,148945,46,"10,000,000",Free,0,Everyone,Casual,17-Jul-18,1.20.1,4.0.3 and up
Toon Blast,GAME,4.7,1351771,,"10,000,000",Free,0,Everyone,Puzzle,30-Jul-18,3196,4.1 and up
Toy Blast,GAME,4.7,1889582,,"50,000,000",Free,0,Everyone,Puzzle,23-Jul-18,5423,4.1 and up
Clash Royale,GAME,4.6,23136735,97,"100,000,000",Free,0,Everyone 10+,Strategy,27-Jun-18,2.3.2,4.1 and up
Clash of Clans,GAME,4.6,44893888,98,"100,000,000",Free,0,Everyone 10+,Strategy,15-Jul-18,10.322.16,4.1 and up
Farm Heroes Saga,GAME,4.4,7614415,70,"100,000,000",Free,0,Everyone,Casual,26-Jul-18,5.1.8,2.3 and up
Plants vs. Zombies FREE,GAME,4.4,4067651,69,"100,000,000",Free,0,Everyone 10+,Strategy,6-Jul-18,2.2.00,4.1 and up
Word Search,GAME,4.7,295576,3.9,"10,000,000",Free,0,Everyone,Word,6-Jun-18,1.1.3,3.0 and up
Block Puzzle,GAME,4.6,59907,7.8,"5,000,000",Free,0,Everyone,Puzzle,6-Mar-18,2.9,2.3 and up
Super Jim Jump - pixel 3d,GAME,4.5,10460,18,"1,000,000",Free,0,Everyone,Arcade,11-Jul-18,2.2.3181,4.0 and up
Pou,GAME,4.3,10486018,24,"500,000,000",Free,0,Everyone,Casual,25-May-18,1.4.77,4.0 and up
Temple Run 2,GAME,4.3,8119151,62,"500,000,000",Free,0,Everyone,Action,5-Jul-18,1.49.1,4.0 and up
Flow Free,GAME,4.3,1295625,11,"100,000,000",Free,0,Everyone,Puzzle,11-Apr-18,4,4.1 and up
Homescapes,GAME,4.6,3093932,,"10,000,000",Free,0,Everyone,Casual,13-Jul-18,1.8.0.900,4.0.3 and up
Wordscapes,GAME,4.8,230849,87,"10,000,000",Free,0,Everyone,Word,2-Aug-18,1.0.47,4.1 and up
My Talking Angela,GAME,4.5,9883367,99,"100,000,000",Free,0,Everyone,Casual,3-Jul-18,3.7.2.51,4.1 and up
slither.io,GAME,4.4,5235294,,"100,000,000",Free,0,Everyone,Action,14-Nov-17,Varies with device,2.3 and up
Cooking Fever,GAME,4.5,3198176,82,"100,000,000",Free,0,Everyone,Arcade,12-Jul-18,2.8.0,4.0.3 and up
Yes day,GAME,4.5,10055521,94,"100,000,000",Free,0,Everyone,Casual,28-Jun-18,1_39_93,4.0.3 and up
Gardenscapes,GAME,4.6,4129665,,"50,000,000",Free,0,Everyone,Casual,13-Jul-18,2.6.2,4.0.3 and up
Fishdom,GAME,4.6,2158580,,"10,000,000",Free,0,Everyone,Puzzle,19-Jul-18,2.21.5,4.0.3 and up
Galaxy Attack: Alien Shooter,GAME,4.6,506593,,"10,000,000",Free,0,Everyone,Arcade,1-Aug-18,5.66,4.1 and up
Score! Hero,GAME,4.6,5419676,96,"100,000,000",Free,0,Everyone,Sports,13-Jun-18,1.751,4.4 and up
Zombie Catchers,GAME,4.7,990723,75,"10,000,000",Free,0,Everyone,Action,24-May-18,1.0.27,4.1 and up
Magic Tiles 3,GAME,4.5,592504,,"50,000,000",Free,0,Everyone,Music,3-Aug-18,5.13.007,4.1 and up
Jewels Star: OZ adventure,GAME,4.5,21892,14,"1,000,000",Free,0,Everyone,Puzzle,29-Dec-17,1.3,4.0 and up
Granny,GAME,4.5,1138239,59,"50,000,000",Free,0,Teen,Arcade,29-May-18,1.4.0.1,4.0 and up
Dream League Soccer 2018,GAME,4.6,9883806,74,"100,000,000",Free,0,Everyone,Sports,16-Jul-18,5.064,4.4 and up
Sweet Fruit Candy,GAME,4.5,197540,29,"10,000,000",Free,0,Everyone,Puzzle,16-Jul-18,79,4.1 and up
Fruits Bomb,GAME,4.4,74695,17,"10,000,000",Free,0,Everyone,Casual,6-Jul-18,3.3.3179,4.0.3 and up
Angry Birds Classic,GAME,4.4,5566889,97,"100,000,000",Free,0,Everyone,Arcade,24-May-18,7.9.3,4.1 and up
Talking Tom Gold Run,GAME,4.6,2698882,78,"100,000,000",Free,0,Everyone,Action,31-Jul-18,2.8.2.59,4.1 and up
Bowmasters,GAME,4.7,1535973,,"50,000,000",Free,0,Teen,Action,23-Jul-18,2.12.5,4.1 and up
My Talking Tom,GAME,4.5,14892469,,"500,000,000",Free,0,Everyone,Casual,19-Jul-18,4.8.0.132,4.1 and up
Hill Climb Racing,GAME,4.4,8923818,63,"100,000,000",Free,0,Everyone,Racing,2-Jul-18,1.37.2,4.2 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,,"100,000,000",Free,0,Mature 17+,Action,2-Aug-18,Varies with device,Varies with device
Pixel Art: Color by Number Game,GAME,4.7,1125438,25,"10,000,000",Free,0,Everyone,Puzzle,17-Jul-18,3.9.2,4.3 and up
Shoot Bubble - Fruit Splash,GAME,4.6,29445,29,"5,000,000",Free,0,Everyone,Casual,11-May-18,14,4.0.3 and up
Rider,GAME,4.5,655145,72,"10,000,000",Free,0,Teen,Arcade,17-Jul-17,1.2.1,4.0.3 and up
Zombie Tsunami,GAME,4.4,4921451,,"100,000,000",Free,0,Everyone 10+,Arcade,15-Jun-18,Varies with device,Varies with device
Garena Free Fire,GAME,4.5,5476569,53,"100,000,000",Free,0,Teen,Action,3-Aug-18,1.21.0,4.0.3 and up
Doodle Jump,GAME,4.3,1083571,,"50,000,000",Free,0,Everyone,Arcade,20-Jul-18,Varies with device,Varies with device
Subway Surfers,GAME,4.5,27725352,76,"1,000,000,000",Free,0,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Helix Jump,GAME,4.2,1500999,33,"100,000,000",Free,0,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
Crossy Road,GAME,4.5,4230886,60,"100,000,000",Free,0,Everyone,Action,1-Aug-18,3.1.0,5.0 and up
Temple Run 2,GAME,4.3,8119154,62,"500,000,000",Free,0,Everyone,Action,5-Jul-18,1.49.1,4.0 and up
slither.io,GAME,4.4,5235294,,"100,000,000",Free,0,Everyone,Action,14-Nov-17,Varies with device,2.3 and up
Bowmasters,GAME,4.7,1535973,,"50,000,000",Free,0,Teen,Action,23-Jul-18,2.12.5,4.1 and up
Talking Tom Gold Run,GAME,4.6,2698889,78,"100,000,000",Free,0,Everyone,Action,31-Jul-18,2.8.2.59,4.1 and up
Zombie Catchers,GAME,4.7,990663,75,"10,000,000",Free,0,Everyone,Action,24-May-18,1.0.27,4.1 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,,"100,000,000",Free,0,Mature 17+,Action,2-Aug-18,Varies with device,Varies with device
Swamp Attack,GAME,4.4,2119218,70,"50,000,000",Free,0,Everyone 10+,Action,29-Jun-18,3.0.1,4.1 and up
Earn to Die 2,GAME,4.6,1327265,99,"50,000,000",Free,0,Teen,Racing,12-Apr-17,1.3,2.3.3 and up
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,184210,99,"10,000,000",Free,0,Everyone,Action,30-Jul-18,1.0.6,4.4 and up
Kick the Buddy,GAME,4.3,1003269,,"50,000,000",Free,0,Teen,Action,5-Jul-18,Varies with device,4.4 and up
Hungry Shark World,GAME,4.5,1242855,27,"50,000,000",Free,0,Teen,Action,18-Jul-18,3.0.0,4.2 and up
Dude Perfect 2,GAME,4.5,401425,70,"10,000,000",Free,0,Everyone,Action,12-Apr-17,1.6.1,4.0.3 and up
Shadow Fight 2,GAME,4.6,10979062,88,"100,000,000",Free,0,Everyone 10+,Action,2-Jul-18,1.9.38,3.0 and up
Alto's Adventure,GAME,4.6,515657,63,"10,000,000",Free,0,Everyone,Action,5-Jun-18,1.7.1,4.0 and up
DEER HUNTER 2018,GAME,4.3,955656,82,"10,000,000",Free,0,Teen,Action,26-Jun-18,5.1.2,3.0 and up
DRAGON BALL LEGENDS,GAME,4.6,337913,48,"5,000,000",Free,0,Teen,Action,3-Aug-18,1.11.0,6.0 and up
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468591,,"50,000,000",Free,0,Mature 17+,Action,23-Jul-18,Varies with device,Varies with device
Cover Fire: offline shooting games for free,GAME,4.7,725897,31,"10,000,000",Free,0,Teen,Action,3-Aug-18,1.8.20,4.1 and up
Anger of stick 5 : zombie,GAME,4.5,549039,23,"50,000,000",Free,0,Teen,Action,3-Aug-18,1.1.5,2.3 and up
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,,"50,000,000",Free,0,Everyone,Action,9-Jul-18,2.11.1,4.1 and up
Soul Knight,GAME,4.7,292164,59,"10,000,000",Free,0,Everyone 10+,Action,1-Aug-18,1.8.4,4.1 and up
Major Mayhem,GAME,4.6,520962,39,"10,000,000",Free,0,Teen,Action,28-Jun-17,108,4.0 and up
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54,"10,000,000",Free,0,Teen,Action,14-Mar-17,3.1.1,3.0 and up
Strawberry Shortcake BerryRush,GAME,4.3,525517,48,"10,000,000",Free,0,Everyone,Action;Action & Adventure,15-Oct-17,1.2.3,2.3 and up
Extreme Match,GAME,4.5,696,,"100,000",Free,0,Everyone,Action,5-Jul-18,1.1.7,4.1 and up
Power Rangers Dino Charge,GAME,4.3,194969,30,"10,000,000",Free,0,Everyone 10+,Action,29-Jan-18,1.4.0,4.1 and up
Zombie Hunter: Post Apocalypse Survival Games,GAME,4.4,327599,66,"10,000,000",Free,0,Teen,Action,28-Jul-17,2.4.2,2.3.3 and up
Agar.io,GAME,4.2,3816799,32,"100,000,000",Free,0,Everyone,Action,23-Jul-18,2.2.8,4.0.3 and up
Zombie Hunter King,GAME,4.3,10538,50,"1,000,000",Free,0,Mature 17+,Action,1-Aug-18,1.0.8,2.3 and up
Garena Free Fire,GAME,4.5,5476569,53,"100,000,000",Free,0,Teen,Action,3-Aug-18,1.21.0,4.0.3 and up
Battlelands Royale,GAME,4.4,105620,61,"1,000,000",Free,0,Everyone 10+,Action,16-Jul-18,0.5.8,4.1 and up
Once Upon a Tower,GAME,4.7,37139,49,"1,000,000",Free,0,Everyone 10+,Action,24-Jan-18,8,4.1 and up
TEKKEN™,GAME,4.2,147791,38,"5,000,000",Free,0,Teen,Action,26-Jul-18,1.3,5.0 and up
diep.io,GAME,4.1,347883,20,"10,000,000",Free,0,Everyone,Action,16-Mar-18,1.2.7,4.0.3 and up
Arrow.io,GAME,4.5,343263,,"10,000,000",Free,0,Everyone 10+,Action,6-Aug-18,1.2.6,4.0.3 and up
BEYBLADE BURST app,GAME,4.5,216849,,"10,000,000",Free,0,Everyone,Action;Action & Adventure,16-Jul-18,Varies with device,Varies with device
Dragon Hills,GAME,4.5,354373,66,"10,000,000",Free,0,Everyone 10+,Action,12-Oct-17,1.2.7,4.1 and up
Bus Rush: Subway Edition,GAME,4.1,753043,57,"100,000,000",Free,0,Teen,Action,1-Aug-18,1.15.2,4.0.3 and up
DC Super Hero Girls™,GAME,4.3,43055,95,"5,000,000",Free,0,Everyone,Action;Action & Adventure,29-Jun-18,2.8.0,4.0 and up
Tiny Archers,GAME,4.5,80678,,"5,000,000",Free,0,Mature 17+,Action,25-May-18,Varies with device,Varies with device
Metal Soldiers 2,GAME,4.4,153381,,"10,000,000",Free,0,Teen,Action,18-Jun-18,1.11.2,4.1 and up
Runner 3d like,GAME,4.5,559,32,"100,000",Free,0,Everyone 10+,Action,3-Aug-18,1.0.7,4.0 and up
War Robots,GAME,4.6,3073251,33,"50,000,000",Free,0,Everyone 10+,Action,25-Jul-18,4.1.1,4.1 and up
Dinosaur Simulator: Dino World,GAME,4,26649,66,"5,000,000",Free,0,Teen,Action,5-Aug-18,1.2,4.2 and up
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75,"50,000,000",Free,0,Teen,Action,1-Aug-18,2.6.61,4.0.3 and up
Quiz: Logo game,GAME,4.5,306764,29,"10,000,000",Free,0,Everyone,Trivia,3-Aug-18,6.2,4.0.3 and up
Candy Crush Saga,GAME,4.4,22430188,74,"500,000,000",Free,0,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
Plants vs. Zombies FREE,GAME,4.4,4067651,69,"100,000,000",Free,0,Everyone 10+,Strategy,6-Jul-18,2.2.00,4.1 and up
Block Puzzle,GAME,4.6,59907,7.8,"5,000,000",Free,0,Everyone,Puzzle,6-Mar-18,2.9,2.3 and up
Helix Jump,GAME,4.2,1500622,33,"100,000,000",Free,0,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
8 Ball Pool,GAME,4.5,14201604,52,"100,000,000",Free,0,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50,"10,000,000",Free,0,Everyone,Arcade,20-Jul-18,2.11.2,4.0.3 and up
Bubble Shooter,GAME,4.5,148990,46,"10,000,000",Free,0,Everyone,Casual,17-Jul-18,1.20.1,4.0.3 and up
Solitaire,GAME,4.7,154264,12,"10,000,000",Free,0,Everyone,Card,8-Jun-18,Varies with device,Varies with device
Bubble Shooter Genies,GAME,4.5,26985,41,"5,000,000",Free,0,Everyone,Casual,4-Jun-18,1.9.1,4.0.3 and up
Blossom Blast Saga,GAME,4.5,1125438,63,"10,000,000",Free,0,Everyone,Casual,5-Jul-18,57.0.8,4.0.3 and up
Traffic Racer,GAME,4.5,5387781,53,"100,000,000",Free,0,Everyone,Racing,27-Feb-18,2.5,4.1 and up
Hill Climb Racing,GAME,4.4,8923847,63,"100,000,000",Free,0,Everyone,Racing,2-Jul-18,1.37.2,4.2 and up
Earn to Die 2,GAME,4.6,1327269,99,"50,000,000",Free,0,Teen,Racing,12-Apr-17,1.3,2.3.3 and up
Bubble Shooter 2,GAME,4.3,23043,,"5,000,000",Free,0,Everyone,Arcade,25-Jul-18,3.5,4.1 and up
Candy Bomb,GAME,4.4,42145,20,"10,000,000",Free,0,Everyone,Casual;Brain Games,4-Jul-18,2.9.3181,4.0.3 and up
Flow Free,GAME,4.3,1295625,11,"100,000,000",Free,0,Everyone,Puzzle,11-Apr-18,4,4.1 and up
Zombie Catchers,GAME,4.7,990796,75,"10,000,000",Free,0,Everyone,Action,24-May-18,1.0.27,4.1 and up
Gems or jewels ?,GAME,4.7,171448,13,"10,000,000",Free,0,Teen,Puzzle,3-Aug-18,1.0.109,4.0 and up
Angry Birds Rio,GAME,4.4,2610680,46,"100,000,000",Free,0,Everyone,Arcade,3-Jul-18,2.6.9,4.1 and up
Candy Crush Jelly Saga,GAME,4.3,1300619,78,"50,000,000",Free,0,Everyone,Puzzle,20-Jul-18,2.1.10,4.0 and up
Cut the Rope FULL FREE,GAME,4.4,2123793,49,"100,000,000",Free,0,Everyone,Puzzle,5-Jul-18,3.7.2,4.1 and up
Jewels Star: OZ adventure,GAME,4.5,21892,14,"1,000,000",Free,0,Everyone,Puzzle,29-Dec-17,1.3,4.0 and up
Hungry Shark Evolution,GAME,4.5,6074627,100,"100,000,000",Free,0,Teen,Arcade,25-Jul-18,6.0.0,4.1 and up
Power Pop Bubbles,GAME,4.4,104303,,"10,000,000",Free,0,Everyone,Arcade,2-Aug-18,3.15,4.1 and up
Angry Birds Classic,GAME,4.4,5566908,97,"100,000,000",Free,0,Everyone,Arcade,24-May-18,7.9.3,4.1 and up
Best Fiends - Free Puzzle Game,GAME,4.6,1480182,,"10,000,000",Free,0,Everyone,Casual,2-Aug-18,5.8.1,Varies with device
Hill Climb Racing 2,GAME,4.6,2750645,,"100,000,000",Free,0,Everyone,Racing,2-Aug-18,1.17.2,4.2 and up
Jewels classic Prince,GAME,4.4,47644,15,"5,000,000",Free,0,Everyone,Puzzle,15-Jun-18,2.4.2,4.0 and up
Fruit Block - Puzzle Legend,GAME,4.6,125647,33,"10,000,000",Free,0,Everyone,Casual,23-Jul-18,60,4.1 and up
Bubble Shooter Space,GAME,4.2,4355,,"1,000,000",Free,0,Everyone,Casual,17-Jul-17,1.6,2.3 and up
Swamp Attack,GAME,4.4,2119235,70,"50,000,000",Free,0,Everyone 10+,Action,29-Jun-18,3.0.1,4.1 and up
1LINE – One Line with One Touch,GAME,4.6,214878,10,"10,000,000",Free,0,Everyone,Board,3-Aug-18,2.0.4,4.1 and up
Stick War: Legacy,GAME,4.6,811040,77,"10,000,000",Free,0,Teen,Strategy,10-May-18,1.7.04,4.4 and up
Bowmasters,GAME,4.7,1536349,,"50,000,000",Free,0,Teen,Action,23-Jul-18,2.12.5,4.1 and up
Magic Tiles 3,GAME,4.5,592504,,"50,000,000",Free,0,Everyone,Music,3-Aug-18,5.13.007,4.1 and up
Block Puzzle Classic Legend !,GAME,4.2,17044,4.9,"5,000,000",Free,0,Everyone,Puzzle,13-Apr-18,2.9,2.3.3 and up
Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,,"10,000,000",Free,0,Everyone,Puzzle,3-Aug-18,1.3.35,4.1 and up
Pixel Art: Color by Number Game,GAME,4.7,1125566,25,"10,000,000",Free,0,Everyone,Puzzle,17-Jul-18,3.9.2,4.3 and up
Score! Hero,GAME,4.6,5419676,96,"100,000,000",Free,0,Everyone,Sports,13-Jun-18,1.751,4.4 and up
Super Jabber Jump 3,GAME,4.3,34494,23,"5,000,000",Free,0,Everyone 10+,Arcade,11-Jul-18,2.5.3182,2.3 and up
Rush,GAME,4.6,260651,51,"10,000,000",Free,0,Everyone,Arcade,14-Feb-18,1.1,4.0 and up
Jetpack Joyride,GAME,4.4,4638163,96,"100,000,000",Free,0,Everyone 10+,Arcade,19-Jul-18,1.10.12,4.1 and up
Zombie Tsunami,GAME,4.4,4921409,,"100,000,000",Free,0,Everyone 10+,Arcade,15-Jun-18,Varies with device,Varies with device
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468638,,"50,000,000",Free,0,Mature 17+,Action,23-Jul-18,Varies with device,Varies with device
Word Search,GAME,4.2,344585,,"50,000,000",Free,0,Everyone,Word,2-Jul-18,Varies with device,Varies with device
Farm Heroes Saga,GAME,4.4,7614407,70,"100,000,000",Free,0,Everyone,Casual,26-Jul-18,5.1.8,2.3 and up
Racing in Car 2,GAME,4.3,234110,38,"50,000,000",Free,0,Everyone,Racing,22-Nov-16,1,2.3.3 and up
Dog Run - Pet Dog Simulator,GAME,4.7,48615,24,"10,000,000",Free,0,Everyone,Simulation;Action & Adventure,22-May-18,1.4.12,4.1 and up
Rope Hero Return of a Legend,GAME,4.3,9951,96,"1,000,000",Free,0,Mature 17+,Arcade,26-Aug-16,1,2.3 and up
Draw a Stickman: EPIC 2 Free,GAME,4.3,213340,24,"10,000,000",Free,0,Everyone,Adventure,14-Jun-18,1.2.1.49,4.0 and up
Agar.io,GAME,4.2,3815614,32,"100,000,000",Free,0,Everyone,Action,23-Jul-18,2.2.8,4.0.3 and up
Angry Birds Classic,GAME,4.4,5565856,97,"100,000,000",Free,0,Everyone,Arcade,24-May-18,7.9.3,4.1 and up
UNO ™ & Friends,GAME,4.1,1728557,,"50,000,000",Free,0,Everyone,Card,20-Sep-17,Varies with device,Varies with device
4 in a Row,GAME,3.8,4257,,"500,000",Free,0,Everyone,Board,13-May-18,Varies with device,Varies with device
Bubble Shooter,GAME,4.5,43576,50,"5,000,000",Free,0,Everyone,Arcade,13-Sep-17,4.4,2.3 and up
Subway Surfers,GAME,4.5,27711703,76,"1,000,000,000",Free,0,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Super Mario Run,GAME,3.7,1221896,70,"100,000,000",Free,0,Everyone,Action,12-Jul-18,3.0.11,4.2 and up
STARDOM: THE A-LIST,GAME,4.5,152658,29,"1,000,000",Free,0,Teen,Adventure,12-Sep-14,2.1.8,2.1 and up
Glow Hockey,GAME,4.1,1703479,,"100,000,000",Free,0,Everyone,Arcade,22-Jul-18,1.3.8,4.1 and up
Pokémon GO,GAME,4.1,10421284,85,"100,000,000",Free,0,Everyone,Adventure,23-Jul-18,0.111.3,4.4 and up
Asphalt 8: Airborne,GAME,4.5,8389714,92,"100,000,000",Free,0,Teen,Racing,4-Jul-18,3.7.1a,4.0.3 and up
PAC-MAN,GAME,4.2,685450,37,"100,000,000",Free,0,Everyone,Arcade,15-May-18,6.6.3,4.1 and up
Lep's World 2 🍀🍀,GAME,4.3,798522,57,"100,000,000",Free,0,Everyone 10+,Arcade,7-Jun-18,1.9.8.0,4.1 and up
Law of Creation: A Playable Manga,GAME,4.5,13118,47,"500,000",Free,0,Teen,Adventure,25-Jun-18,1.0.19,4.0.3 and up
Real City Car Driver,GAME,3.7,413609,22,"10,000,000",Free,0,Mature 17+,Racing,1-Aug-18,2.8,4.1 and up
Rolling Sky,GAME,4.5,1117212,50,"50,000,000",Free,0,Everyone,Board,3-Aug-18,Varies with device,4.0.3 and up
4 in a row,GAME,4.3,47698,4.1,"5,000,000",Free,0,Everyone,Board,12-Apr-16,1.0.21,1.5 and up
Four In A Line Free,GAME,4.3,133195,11,"5,000,000",Free,0,Everyone,Board,11-Jun-18,1.58,4.1 and up
Alto's Adventure,GAME,4.6,515240,63,"10,000,000",Free,0,Everyone,Action,5-Jun-18,1.7.1,4.0 and up
Draw A Stickman,GAME,3.4,29265,17,"1,000,000",Free,0,Everyone,Adventure,19-May-17,1.1.0,4.0.3 and up
Zombie Tsunami,GAME,4.4,4918776,,"100,000,000",Free,0,Everyone 10+,Arcade,15-Jun-18,Varies with device,Varies with device
Four In A Line,GAME,3.8,22191,3,"1,000,000",Free,0,Everyone,Board,4-May-15,1.1,2.3 and up
Cardi B Piano Game,GAME,3.1,50,7.4,"10,000",Free,0,Everyone,Music,15-Nov-17,2,4.0 and up
MORTAL KOMBAT X,GAME,4.4,3039889,18,"10,000,000",Free,0,Mature 17+,Action,27-Jun-18,1.18.2,4.0 and up
► MultiCraft ― Free Miner! 👍,GAME,4.3,1305050,,"50,000,000",Free,0,Everyone 10+,Adventure,29-Jul-18,1.1.11.11,4.1 and up
Pixel Gun 3D: Survival shooter & Battle Royale,GAME,4.5,4487182,55,"50,000,000",Free,0,Teen,Action,4-Jul-18,15.1.2,4.0.3 and up
B-52 Spirits of Glory Deluxe,GAME,4.3,12,29,100,Paid,$0.99 ,Everyone,Arcade,2-Sep-17,1.5.9,2.3 and up
Hungry Shark Evolution,GAME,4.5,6071542,100,"100,000,000",Free,0,Teen,Arcade,25-Jul-18,6.0.0,4.1 and up
Perfect Piano,GAME,4.2,828489,,"50,000,000",Free,0,Everyone,Music,4-Aug-18,Varies with device,Varies with device
B-Grade Renegade,GAME,3.9,24,64,"1,000",Paid,$1.99 ,Teen,Action,17-Oct-17,0.8.17,3.2 and up
CURSUM B,GAME,NaN,30,26,500,Paid,$0.99 ,Everyone,Racing,20-Jun-17,1.0.0,2.3 and up
Critical Ops,GAME,4.4,1397944,50,"10,000,000",Free,0,Teen,Action,31-Jul-18,0.9.10.f96,4.4 and up
Hill Climb Racing,GAME,4.4,8921451,63,"100,000,000",Free,0,Everyone,Racing,2-Jul-18,1.37.2,4.2 and up
Hitman Sniper,GAME,4.6,408292,29,"10,000,000",Paid,$0.99 ,Mature 17+,Action,12-Jul-18,1.7.110758,4.1 and up
FRONTLINE COMMANDO: D-DAY,GAME,4.5,1736105,14,"10,000,000",Free,0,Mature 17+,Action,16-May-14,3.0.4,2.1 and up
Fruit Ninja®,GAME,4.3,5091448,41,"100,000,000",Free,0,Everyone,Arcade,12-Jul-18,2.6.7.487220,4.1 and up
Crossy Road,GAME,4.5,4229977,60,"100,000,000",Free,0,Everyone,Action,1-Aug-18,3.1.0,5.0 and up
Temple Run 2,GAME,4.3,8116142,62,"500,000,000",Free,0,Everyone,Action,5-Jul-18,1.49.1,4.0 and up
Beach Buggy Blitz,GAME,4.2,640974,47,"50,000,000",Free,0,Everyone,Racing,5-Jun-18,1.5,4.0.3 and up
Vector,GAME,4.4,3058687,89,"100,000,000",Free,0,Everyone 10+,Arcade,18-Jul-16,1.2.0,4.0 and up
Dr. Driving,GAME,4.5,4972230,9.9,"100,000,000",Free,0,Everyone,Racing,2-Mar-18,1.52,4.0.3 and up
D Day World War II Commando Survival Shooting,GAME,4.2,951,64,"100,000",Free,0,Teen,Action,25-May-18,1.2,4.1 and up
Geometry Dash Meltdown,GAME,4.6,1591129,48,"50,000,000",Free,0,Everyone,Arcade,22-Dec-17,1.01,4.0 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7657490,,"100,000,000",Free,0,Mature 17+,Action,2-Aug-18,Varies with device,Varies with device
Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,2586261,,"100,000,000",Free,0,Everyone,Racing,31-Jul-18,7.7.9,4.2 and up
Smash Hit,GAME,4.5,4147718,79,"100,000,000",Free,0,Everyone,Arcade,26-Nov-15,1.4.0,2.3 and up
Temple Run,GAME,4.3,4000433,42,"100,000,000",Free,0,Everyone,Arcade,2-Aug-18,1.9.1,4.0 and up
Super Car F. Mod for MCPE,GAME,3.6,214,4.9,"50,000",Free,0,Everyone,Adventure,19-Jul-18,3.0.1,4.2 and up
Geometry Dash World,GAME,4.6,759838,63,"10,000,000",Free,0,Everyone,Arcade,22-Dec-17,1.03,4.0 and up
PUBG MOBILE,GAME,4.4,3697174,36,"50,000,000",Free,0,Teen,Action,24-Jul-18,0.7.0,4.3 and up
